time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-15T21:34:47.028Z,38.7565,-118.5336,3,1.7,ml,14,87.25,0.445,0.201,nn,nn00861275,2023-06-15T21:37:26.838Z,"California-Nevada border region",earthquake,,2,0.22,9,automatic,nn,nn
2023-06-15T21:07:34.955Z,61.4874,-149.9052,32,1.9,ml,,,,0.54,ak,ak0237mvradz,2023-06-15T21:09:35.316Z,"4 km SE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-06-15T20:34:17.410Z,36.887001,-121.6223297,0.52,1.74,md,16,75,0.02448,0.21,nc,nc73901511,2023-06-15T21:37:13.767Z,"2km E of Aromas, CA",earthquake,0.38,1.08,0.09,4,automatic,nc,nc
2023-06-15T20:32:27.400Z,17.9538333333333,-66.9656666666667,14.95,2.49,md,4,216,0.08491,0.05,pr,pr71413548,2023-06-15T21:39:38.820Z,"6 km WSW of Guánica, Puerto Rico",earthquake,0.75,0.68,0.222469677803152,3,reviewed,pr,pr
2023-06-15T20:28:52.515Z,36.9851,-116.4171,1.8,0.8,ml,13,100.11,0.018,0.1716,nn,nn00861274,2023-06-15T20:30:44.686Z,"31 km ENE of Beatty, Nevada",earthquake,,0.4,0.86,9,automatic,nn,nn
2023-06-15T20:20:58.120Z,19.354,-63.9545,33,3.69,md,10,301,1.4167,0.27,pr,pr2023166001,2023-06-15T21:03:06.729Z,"Leeward Islands",earthquake,1.87,18.01,0.15,4,reviewed,pr,pr
2023-06-15T20:17:50.630Z,46.90716666666667,-121.8755,10.98,0.38,ml,20,126,0.04192,0.1,uw,uw61933501,2023-06-15T22:18:38.000Z,"Washington",earthquake,0.29,0.59,0.18017228741839036,7,reviewed,uw,uw
2023-06-15T20:17:19.112Z,61.9017,-148.4218,15,1.4,ml,,,,0.74,ak,ak0237mv7ypz,2023-06-15T20:19:55.258Z,"11 km N of Chickaloon, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-06-15T20:06:45.413Z,61.1854,-147.171,10.4,1.4,ml,,,,0.38,ak,ak0237mv5nuj,2023-06-15T20:09:02.933Z,"Southern Alaska",earthquake,,2.8,,,automatic,ak,ak
2023-06-15T20:00:19.910Z,45.788833333333336,-123.03,-0.45,1.95,ml,6,179,0.1651,0.07,uw,uw61933496,2023-06-15T22:08:25.210Z,"12 km WNW of Scappoose, Oregon",explosion,0.76,31.61,0.1631973929543178,6,reviewed,uw,uw
2023-06-15T19:58:02.128Z,60.3451,-152.3619,82,1.7,ml,,,,0.38,ak,ak0237muva5w,2023-06-15T19:59:28.714Z,"50 km NW of Ninilchik, Alaska",earthquake,,1.3,,,automatic,ak,ak
2023-06-15T19:39:55.997Z,62.7632,-148.467,53.6,1.9,ml,,,,1.01,ak,ak0237murbo1,2023-06-15T19:42:42.635Z,"74 km SSE of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-06-15T19:35:42.550Z,34.0123333,-116.962,12.84,1.18,ml,40,65,0.08386,0.14,ci,ci40486816,2023-06-15T21:00:40.584Z,"8km ESE of Yucaipa, CA",earthquake,0.18,0.55,0.115,25,reviewed,ci,ci
2023-06-15T19:26:02.560Z,38.8208333,-122.822,2.4,0.35,md,24,61,0.009661,0.08,nc,nc73901506,2023-06-15T22:01:12.886Z,"8km NW of The Geysers, CA",earthquake,0.23,0.37,0.173,23,reviewed,nc,nc
2023-06-15T19:20:32.100Z,38.7825012,-122.757164,1.54,0.76,md,11,70,0.01354,0.02,nc,nc73901501,2023-06-15T19:23:11.389Z,"1km N of The Geysers, CA",earthquake,0.32,0.79,0.11,10,automatic,nc,nc
2023-06-15T19:20:10.357Z,39.1671,-119.6691,7.1,1.4,ml,8,123.46,0.095,0.1158,nn,nn00861273,2023-06-15T19:22:32.427Z,"8 km E of Carson City, Nevada",earthquake,,3,0.31,6,automatic,nn,nn
2023-06-15T19:18:45.290Z,38.783165,-122.757164,1.39,1.07,md,13,70,0.01412,0.03,nc,nc73901496,2023-06-15T19:21:26.283Z,"1km N of The Geysers, CA",earthquake,0.28,0.59,0.08,11,automatic,nc,nc
2023-06-15T19:09:39.305Z,58.254,-155.047,2.2,1.3,ml,,,,0.46,ak,ak0237mukuy9,2023-06-15T19:11:54.988Z,"83 km NNW of Karluk, Alaska",earthquake,,0.8,,,automatic,ak,ak
2023-06-15T19:07:34.356Z,-34.5191,-71.8909,39.054,5.2,mb,107,71,0.678,1,us,us7000k8rm,2023-06-16T00:32:19.324Z,"49 km WNW of Santa Cruz, Chile",earthquake,1.91,6.98,0.082,49,reviewed,us,us
2023-06-15T19:03:30.950Z,46.0048333333333,-112.464,-2,1.87,ml,13,168,0.06338,0.07,mb,mb90018428,2023-06-15T19:51:31.630Z,"5 km E of Butte, Montana",quarry blast,0.41,31.61,0.124951150607927,15,reviewed,mb,mb
2023-06-15T19:02:29.290Z,38.8086667,-122.7945,2.25,0.43,md,17,50,0.0009383,0.02,nc,nc73901491,2023-06-15T21:09:41.616Z,"5km NW of The Geysers, CA",earthquake,0.24,0.27,0.367,17,reviewed,nc,nc
2023-06-15T18:50:26.500Z,47.35483333333333,-117.86866666666667,-0.67,2.18,ml,7,103,0.1528,0.32,uw,uw61933481,2023-06-15T21:28:49.870Z,"10 km NE of Sprague, Washington",explosion,0.85,31.61,0.10823899868797948,2,reviewed,uw,uw
2023-06-15T18:47:30.304Z,61.6994,-150.2805,54.9,1.7,ml,,,,0.57,ak,ak0237mu7juu,2023-06-15T18:49:05.769Z,"Southern Alaska",earthquake,,2.1,,,automatic,ak,ak
2023-06-15T18:42:09.182Z,61.4261,-150.078,22.3,2,ml,,,,0.59,ak,ak0237mu6fna,2023-06-15T18:43:43.450Z,"9 km NW of Point MacKenzie, Alaska",earthquake,,0.4,,,automatic,ak,ak
